security,qty,avg_rate,fees,total_cost,avg_cost_incl_fees
BAHL,300,88.2000,66.15,26526.15,88.4205
CHCC,50,214.8800,26.86,10770.86,215.4172
ENGRO,40,312.5000,31.25,12531.25,313.2813
HBL,350,152.4686,133.41,53497.41,152.8497
INDU,8,1875.0000,37.50,15037.50,1879.6875
KEL,5000,5.6200,70.25,28170.25,5.6341
NBP,300,47.3200,35.49,14231.49,47.4383
NESTLE,2,7250.0000,36.25,14536.25,7268.1250
PAEL,400,41.8400,41.84,16777.84,41.9446
POL,10,644.0000,48.40,6488.40,648.8400
SEARL,300,94.1200,70.59,28306.59,94.3553
TRG,300,67.9867,120.11,20516.11,68.3870
UBL,96,368.7500,88.50,35488.50,369.6719
