security,qty,avg_cost_incl_fees,total_cost,live_price,market_value,unrealized_pnl,pnl_pct
BAHL,300,88.4205,26526.15,87.09,26127.00,-399.15,-1.50
CHCC,50,215.4172,10770.86,214.34,10717.00,-53.86,-0.50
ENGRO,40,313.2813,12531.25,314.85,12594.00,62.75,0.50
HBL,350,152.8497,53497.41,155.14,54299.00,801.59,1.50
INDU,8,1879.6875,15037.50,1851.49,14811.92,-225.58,-1.50
KEL,5000,5.6341,28170.25,5.61,28050.00,-120.25,-0.43
NBP,300,47.4383,14231.49,47.68,14304.00,72.51,0.51
NESTLE,2,7268.1250,14536.25,7377.15,14754.30,218.05,1.50
PAEL,400,41.9446,16777.84,41.32,16528.00,-249.84,-1.49
POL,10,648.8400,6488.40,645.60,6456.00,-32.40,-0.50
SEARL,300,94.3553,28306.59,94.83,28449.00,142.41,0.50
TRG,300,68.3870,20516.11,69.41,20823.00,306.89,1.50
UBL,96,369.6719,35488.50,364.13,34956.48,-532.02,-1.50
