security,trade_no,trade_date,settlement_date,side,rate,qty,gross_amount,brokerage,cvt,net_amount
HBL,90000101,2026-03-02,2026-03-03,BUY,152.4000,200,30480.00,76.2000,0.00,30556.20
HBL,90000102,2026-03-02,2026-03-03,BUY,152.5600,150,22884.00,57.2100,0.00,22941.21
UBL,90000103,2026-03-02,2026-03-03,BUY,368.7500,96,35400.00,88.5000,0.00,35488.50
BAHL,90000104,2026-03-02,2026-03-03,BUY,88.2000,300,26460.00,66.1500,0.00,26526.15
ENGRO,90000105,2026-03-02,2026-03-03,BUY,312.5000,40,12500.00,31.2500,0.00,12531.25
NESTLE,90000106,2026-03-02,2026-03-03,BUY,7250.0000,2,14500.00,36.2500,0.00,14536.25
POL,90000107,2026-03-02,2026-03-03,BUY,645.0000,20,12900.00,32.2500,0.00,12932.25
POL,90000108,2026-03-02,2026-03-03,SELL,646.0000,10,6460.00,16.1500,0.00,6443.85
TRG,90000109,2026-03-02,2026-03-03,BUY,68.4400,500,34220.00,85.5500,0.00,34305.55
TRG,90000110,2026-03-02,2026-03-03,SELL,69.1200,200,13824.00,34.5600,0.00,13789.44
SEARL,90000111,2026-03-02,2026-03-03,BUY,94.1200,300,28236.00,70.5900,0.00,28306.59
INDU,90000112,2026-03-02,2026-03-03,BUY,1875.0000,8,15000.00,37.5000,0.00,15037.50
PAEL,90000113,2026-03-02,2026-03-03,BUY,41.8400,400,16736.00,41.8400,0.00,16777.84
KEL,90000114,2026-03-02,2026-03-03,BUY,5.6200,5000,28100.00,70.2500,0.00,28170.25
CHCC,90000115,2026-03-02,2026-03-03,BUY,214.8800,50,10744.00,26.8600,0.00,10770.86
NBP,90000116,2026-03-02,2026-03-03,BUY,47.3200,300,14196.00,35.4900,0.00,14231.49
